Alias / Serial number,Time,Status,Vpv1(V),Ipv1(A),Ppv1(W),Vpv2(V),Ipv2(A),Ppv2(W),Ppv(W),Vac(R)(V),VacS(V),VacT(V),Iac(R)(A),IacS(A),IacT(A),Fac(Hz),Pac(W),PacR(W),PacS(W),PacT(W),Temperature(_),Eac_today(kWh),Eac_total(kWh),T_total(H),Bat_Volt(V),Bat_Power(W),Output_Volt(V),Output_Freq(Hz),Load_Power(W),CHG_Temperature(_),Bat_Temperature(_),Bat_Percent(%)
SD1740L010,2018-02-20 20:25:07,NORMAL,11.1,0,0,15.1,0,0,0,232.5,0,201.8,4.3,0,0,50,-5,0,0,0,45.7,3.9,337.1,610,52.5,1148,228.6,50,1002,44.9,32,75
SD1740L010,2018-02-20 20:30:07,NORMAL,11.3,0,0,15.2,0,0,0,233.6,0,202,4.8,0,0,50,-22,0,0,0,45.8,4,337.2,611,52.4,1295,229.7,50,1149,45.1,32,73
SD1740L010,2018-02-20 20:35:07,NORMAL,11.2,0,0,15.1,0,0,0,234.4,0,202.1,4.8,0,0,50,3,0,0,0,46,4.1,337.3,611,52.4,1306,230.5,50,1141,45,32,72
SD1740L010,2018-02-20 20:40:07,NORMAL,11.2,0,0,15.1,0,0,0,235.3,0,202.2,4.5,0,0,50,-7,0,0,0,45.8,4.2,337.4,611,52.4,1214,231.4,50,1071,45,32,71
SD1740L010,2018-02-20 20:45:07,NORMAL,11.2,0,0,15.2,0,0,0,236.7,0,202.3,4.4,0,0,50,-18,0,0,0,45.6,4.3,337.5,611,52.4,1196,232.9,50,1071,44.8,32,71
SD1740L010,2018-02-20 20:50:07,NORMAL,11.1,0,0,15.1,0,0,0,232.8,0,202.4,4.4,0,0,50,22,0,0,0,45.4,4.4,337.6,611,52.4,1180,229,50,1011,44.7,32,70
SD1740L010,2018-02-20 20:55:07,NORMAL,11.1,0,0,15,0,0,0,230.7,0,202.5,3.7,0,0,50,-7,0,0,0,45.3,4.5,337.7,611,52.4,896,226.8,50,787,44.5,32,69
SD1740L010,2018-02-20 21:00:07,NORMAL,10.8,0,0,14.6,0,0,0,232.8,0,202.5,3.6,0,0,50,-9,0,0,0,44.9,4.5,337.7,611,52.5,907,228.9,50,809,44.1,32,68
SD1740L010,2018-02-20 21:05:07,NORMAL,10.8,0,0,14.6,0,0,0,232.6,0,202.6,3.5,0,0,50,-10,0,0,0,44.4,4.6,337.8,611,52.4,844,228.6,50,746,43.7,32,67
SD1740L010,2018-02-20 21:10:07,NORMAL,10.9,0,0,14.7,0,0,0,233.3,0,202.7,3.4,0,0,50,-15,0,0,0,44.3,4.6,337.8,611,52.3,842,229.3,50,762,43.5,32,67
SD1740L010,2018-02-20 21:15:07,NORMAL,10.9,0,0,14.7,0,0,0,234.1,0,202.7,3.4,0,0,50,30,0,0,0,44,4.7,337.9,611,52.3,872,230.1,50,722,43.3,32,66
SD1740L010,2018-02-20 21:20:07,NORMAL,11,0,0,14.8,0,0,0,235.1,0,202.8,3.5,0,0,50,-18,0,0,0,43.8,4.8,338,611,52.2,890,231.2,50,799,43.1,32,65
SD1740L010,2018-02-20 21:25:07,NORMAL,11,0,0,14.8,0,0,0,236,0,202.9,3.5,0,0,50,33,0,0,0,43.5,4.8,338,611,52.2,892,232,50,749,43,32,65
SD1740L010,2018-02-20 21:30:07,NORMAL,11.1,0,0,14.9,0,0,0,235.9,0,203,3.5,0,0,50,16,0,0,0,43.7,4.9,338.1,612,52.1,889,231.9,50,764,42.9,32,64
SD1740L010,2018-02-20 21:35:07,NORMAL,11,0,0,14.8,0,0,0,234.2,0,203,3.5,0,0,49.9,-11,0,0,0,43.6,5,338.2,612,52.1,878,230.2,49.9,776,42.7,32,63
SD1740L010,2018-02-20 21:40:07,NORMAL,11.1,0,0,14.9,0,0,0,235.1,0,203.1,3.5,0,0,50,-6,0,0,0,43.3,5,338.2,612,52.1,879,231.1,50,775,42.6,31,63
SD1740L010,2018-02-20 21:45:07,NORMAL,11,0,0,14.8,0,0,0,232.7,0,203.2,3.5,0,0,50,-8,0,0,0,43.3,5.1,338.3,612,52.2,850,228.7,50,753,42.7,31,62
SD1740L010,2018-02-20 21:50:07,NORMAL,11.1,0,0,14.8,0,0,0,234.6,0,203.3,3.6,0,0,50,17,0,0,0,43.1,5.2,338.4,612,52.2,927,230.6,50,781,42.5,31,61
SD1740L010,2018-02-20 21:55:07,NORMAL,11.1,0,0,14.9,0,0,0,235.9,0,203.3,3.5,0,0,50,15,0,0,0,43,5.2,338.4,612,52.2,836,231.9,50,703,42.4,31,61
SD1740L010,2018-02-20 22:00:07,NORMAL,11.1,0,0,14.9,0,0,0,235.1,0,203.4,0.5,0,0,49.9,3,0,0,0,42.6,5.3,338.5,612,52.4,152,230.8,49.9,132,42.1,31,60
SD1740L010,2018-02-20 22:05:07,NORMAL,11,0,0,14.8,0,0,0,232.3,0,203.4,1.2,0,0,49.9,3,0,0,0,42.2,5.3,338.5,612,52.4,259,228.1,49.9,218,41.4,31,60
SD1740L010,2018-02-20 22:10:07,NORMAL,11.1,0,0,14.8,0,0,0,232.8,0,203.4,1.1,0,0,50,11,0,0,0,41.4,5.3,338.5,612,52.4,254,228.6,50,205,40.9,31,60
SD1740L010,2018-02-20 22:15:07,NORMAL,11.1,0,0,14.9,0,0,0,234.8,0,203.4,0.5,0,0,50,-18,0,0,0,41.1,5.3,338.5,612,52.6,51,230.5,50,67,40.7,31,60
SD1740L010,2018-02-20 22:20:07,NORMAL,11.1,0,0,14.9,0,0,0,234.1,0,203.4,0.5,0,0,50,-22,0,0,0,40.6,5.3,338.5,612,52.5,52,229.9,50,73,40.2,31,60
SD1740L010,2018-02-20 22:25:07,NORMAL,11.2,0,0,14.9,0,0,0,234.5,0,203.4,0.5,0,0,50,10,0,0,0,40.4,5.3,338.5,612,52.7,64,230.3,50,46,39.5,31,60
SD1740L010,2018-02-20 22:30:07,NORMAL,11.1,0,0,14.9,0,0,0,234.2,0,203.4,0.5,0,0,50,-28,0,0,0,40,5.3,338.5,613,52.7,59,230,50,72,39.3,31,60
SD1740L010,2018-02-20 22:35:07,NORMAL,11.1,0,0,14.9,0,0,0,233.4,0,203.4,0.5,0,0,50,-12,0,0,0,39.7,5.3,338.5,613,52.5,58,229.2,50,54,39.1,31,60
SD1740L010,2018-02-20 22:40:07,NORMAL,11.2,0,0,15,0,0,0,234.6,0,203.4,0.5,0,0,50,5,0,0,0,39.7,5.3,338.5,613,52.5,75,230.4,50,61,39.1,31,59
SD1740L010,2018-02-20 22:45:07,NORMAL,11.3,0,0,15,0,0,0,235.7,0,203.5,0.5,0,0,50,-22,0,0,0,39.5,5.3,338.5,613,52.7,46,231.4,50,67,38.7,31,59
SD1740L010,2018-02-20 22:50:07,NORMAL,11.3,0,0,15.1,0,0,0,237.2,0,203.5,0.5,0,0,50,13,0,0,0,39.1,5.3,338.5,613,52.7,64,232.9,50,48,38.1,31,59
SD1740L010,2018-02-20 22:55:07,NORMAL,11.2,0,0,14.9,0,0,0,231.7,0,203.5,0.4,0,0,50,0,0,0,0,38.9,5.3,338.5,613,52.5,82,227.6,50,73,38.4,31,59
SD1740L010,2018-02-20 23:00:07,NORMAL,11.2,0,0,14.9,0,0,0,229.4,0,203.5,0.5,0,0,50,-26,0,0,0,38.8,5.3,338.5,613,52.7,50,225.2,50,70,38.2,31,59
SD1740L010,2018-02-20 23:05:07,NORMAL,11.3,0,0,15,0,0,0,233.3,0,203.5,0.5,0,0,50,-6,0,0,0,38.7,5.3,338.5,613,52.5,70,229.1,50,74,38,31,59
SD1740L010,2018-02-20 23:10:07,NORMAL,11.3,0,0,15,0,0,0,234.2,0,203.5,0.5,0,0,50,-3,0,0,0,38.4,5.4,338.6,613,52.7,71,230,50,72,38.1,31,59
SD1740L010,2018-02-20 23:15:07,NORMAL,11.5,0,0,15.2,0,0,0,234.5,0,203.5,0.7,0,0,50,-3,0,0,0,38.6,5.4,338.6,613,52.6,171,230.3,50,150,37.7,30,59
SD1740L010,2018-02-20 23:20:07,NORMAL,11.6,0,0,15.2,0,0,0,230.2,0,203.5,0.7,0,0,50,13,0,0,0,38.2,5.4,338.6,613,52.4,169,226.1,50,147,37.7,30,59
SD1740L010,2018-02-20 23:25:07,NORMAL,11.5,0,0,15.2,0,0,0,231.9,0,203.5,0.5,0,0,50,-14,0,0,0,38.2,5.4,338.6,613,52.6,156,227.8,50,153,37.5,30,59
SD1740L010,2018-02-20 23:30:07,NORMAL,11.7,0,0,15.5,0,0,0,235.2,0,203.5,0.5,0,0,50,-10,0,0,0,38.4,5.4,338.6,614,52.4,157,230.9,50,150,37.4,30,59
SD1740L010,2018-02-20 23:35:07,NORMAL,11.8,0,0,15.5,0,0,0,234.2,0,203.5,0.7,0,0,50,-11,0,0,0,38.1,5.4,338.6,614,52.4,159,229.9,50,152,37.5,30,58
SD1740L010,2018-02-20 23:40:07,NORMAL,11.8,0,0,15.5,0,0,0,232.4,0,203.6,1.5,0,0,50,-8,0,0,0,38.1,5.4,338.6,614,52.3,270,228.3,50,244,37.4,30,58
SD1740L010,2018-02-20 23:45:07,NORMAL,11.8,0,0,15.4,0,0,0,231,0,203.6,1.2,0,0,50,7,0,0,0,37.8,5.4,338.6,614,52.5,250,226.8,50,205,37.4,30,58
SD1740L010,2018-02-20 23:50:07,NORMAL,11.9,0,0,15.5,0,0,0,235.5,0,203.6,0.5,0,0,50,1,0,0,0,37.9,5.5,338.7,614,52.4,154,231.3,50,131,37.3,30,58
SD1740L010,2018-02-20 23:55:07,NORMAL,12,0,0,15.6,0,0,0,235.8,0,203.6,0.5,0,0,50,3,0,0,0,38,5.5,338.7,614,52.5,152,231.5,50,129,37.1,30,58
